ArealAttributionType,PoliceDistrict,PoliceMerhav,PoliceStation,Settlement_Council,StatArea,Quarter,StatisticCrimeGroup,StatisticCrimeType,TikimSum
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q1,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q1,עבירות סדר ציבורי,איומים,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q1,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q2,עבירות כלפי הרכוש,כייסות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q2,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q2,עבירות סדר ציבורי,איומים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q3,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q3,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q4,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q4,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q4,עבירות סדר ציבורי,איומים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2018-Q4,קבוצת כל השאר,סטיסטי כל השאר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q1,עבירות כלפי המוסר,שמוש בסמים מסוכנים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q1,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q1,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q2,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q2,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q2,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q2,עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,4
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q2,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q2,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q2,עבירות סדר ציבורי,תקיפת והכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q2,קבוצת כל השאר,סטיסטי כל השאר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q3,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q3,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q3,עבירות סדר ציבורי,תקיפת והכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q4,עבירות כלפי המוסר,שמוש בסמים מסוכנים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q4,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2019-Q4,קבוצת כל השאר,סטיסטי כל השאר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q1,עבירות סדר ציבורי,איומים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q2,עבירות כלפי המוסר,שמוש בסמים מסוכנים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q2,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q2,עבירות סדר ציבורי,איומים,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q3,עבירות כלפי המוסר,שמוש בסמים מסוכנים,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q3,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q3,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q3,עבירות סדר ציבורי,קטטות והפרעות ברחובות,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2020-Q4,עבירות כלפי המוסר,החזקת סמים שלא לצריכה עצמית,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q1,עבירות כלפי המוסר,שמוש בסמים מסוכנים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q1,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q2,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q2,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q2,עבירות סדר ציבורי,איומים,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q2,עבירות סדר ציבורי,הסגות גבול,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q2,עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q2,עבירות סדר ציבורי,תקיפת והכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q3,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q3,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q3,עבירות מרמה,מרמה ועושק,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q4,עבירות כלפי המוסר,שמוש בסמים מסוכנים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q4,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q4,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,4
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q4,עבירות נגד גוף,חבלה גופנית חמורה,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q4,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q4,עבירות סדר ציבורי,תקיפת והכשלת שוטר,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2021-Q4,קבוצת כל השאר,סטיסטי כל השאר,3
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q1,עבירות בטחון,עבירות אחרות כלפי בטחון,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q1,עבירות כלפי הרכוש,גניבות אחרות,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q1,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q1,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q1,עבירות סדר ציבורי,תקיפת והכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q1,קבוצת כל השאר,סטיסטי כל השאר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות בטחון,עבירות אחרות כלפי בטחון,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות כלפי הרכוש,גניבות אחרות,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות מרמה,זיוף מסמכים והפצתם,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות מרמה,מרמה ועושק,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,5
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות סדר ציבורי,איומים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות סדר ציבורי,הסגות גבול,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,עבירות סדר ציבורי,תקיפת והכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q2,קבוצת כל השאר,סטיסטי כל השאר,3
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q3,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q3,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q3,עבירות סדר ציבורי,התקהלות או התאגדות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q3,עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q3,עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,3
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q3,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q3,עבירות סדר ציבורי,תקיפת והכשלת שוטר,3
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q3,קבוצת כל השאר,סטיסטי כל השאר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q4,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q4,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2022-Q4,עבירות סדר ציבורי,איומים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות כלפי המוסר,שמוש בסמים מסוכנים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות מין,הטרדה מינית,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות מרמה,זיוף מסמכים והפצתם,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות מרמה,מרמה ועושק,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות סדר ציבורי,איומים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",3
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,עבירות סדר ציבורי,תקיפת והכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000824.0,2023-Q1,קבוצת כל השאר,סטיסטי כל השאר,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2018-Q1,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2018-Q1,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2018-Q1,קבוצת כל השאר,סטיסטי כל השאר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2018-Q4,עבירות מרמה,זיוף מסמכים והפצתם,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2018-Q4,עבירות מרמה,מרמה ועושק,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2019-Q3,עבירות מרמה,זיוף מסמכים והפצתם,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2019-Q4,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2019-Q4,עבירות סדר ציבורי,קטטות והפרעות ברחובות,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2020-Q1,עבירות כלכליות,עבירות קניין רוחני,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2020-Q1,עבירות סדר ציבורי,איומים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2020-Q1,עבירות סדר ציבורי,קטטות והפרעות ברחובות,2
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2023-Q1,עבירות כלפי הרכוש,כייסות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30000826.0,2023-Q1,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2018-Q4,עבירות סדר ציבורי,איומים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2019-Q1,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2019-Q2,עבירות כלפי המוסר,שמוש בסמים מסוכנים,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2019-Q3,עבירות כלפי הרכוש,החזקת רכוש גנוב,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2020-Q2,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2020-Q4,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2021-Q3,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2021-Q4,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2022-Q1,עבירות כלפי המוסר,החזקת סמים שלא לצריכה עצמית,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2022-Q1,עבירות כלפי הרכוש,החזקת רכוש גנוב,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2022-Q1,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2022-Q2,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2022-Q2,עבירות סדר ציבורי,קטטות והפרעות ברחובות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2022-Q2,עבירות סדר ציבורי,תקיפת והכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30001337.0,2022-Q2,קבוצת כל השאר,סטיסטי כל השאר,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30002412.0,2018-Q1,עבירות כלפי הרכוש,גניבות אחרות,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30002412.0,2018-Q2,עבירות כלפי הרכוש,גניבה מתוך רכב,1
תיקים באזור סטטיסטי,מחוז ירושלים,מרחב דוד ירושלים,מרחב דוד ירושלים,ירושלים,30002412.0,2018-Q3,עבירות כלפי המוסר,שמוש בסמים מסוכנים,3
